items,item_utilities,item_probabilities
7 1305 1489,783 113 692,0.59 0.19 0.67
143 255 332 725 835 908 931 1151,738 256 884 745 1396 206 380 186,0.32 0.02 0.81 0.61 0.94 0.86 0.6 0.21
186 1221,446 447,0.57 0.6
1022 1199,604 1024,0.2 0.07
319 922 1315 1328 1498,480 777 534 1130 459,0.08 0.35 0.49 0.8 0.84
494 567 977 1359 1382,386 705 227 372 339,0.1 0.19 0.1 0.68 1.0
76 132 153 199 315 752 908 1108,676 576 816 501 192 254 206 656,0.49 0.11 0.92 0.14 0.32 0.91 0.69 0.39
40 629 755,297 165 894,0.9 0.25 0.09
233 839 1348,984 198 494,0.99 0.55 0.96
96,633,0.82
63 366 1442 1465,1180 944 492 836,0.01 0.8 0.64 0.17
581 957,852 891,0.76 0.2
115 797,195 876,0.45 0.23
142 341 454 924 1130,927 554 279 810 310,0.58 0.91 0.11 0.93 0.61
228 278 555 572 701 844,246 1008 864 753 225 993,0.78 0.51 0.21 0.35 0.94 0.86
27 320 963 1006 1289 1429 1435,795 1304 480 428 363 720 816,0.73 0.53 0.45 0.92 0.74 0.24 0.49
577 993 1303,524 1580 136,0.02 0.28 0.47
544 727 1093,1180 573 1405,0.37 1.0 0.93
816 1343 1399,458 574 712,0.88 0.87 0.86
287 770,468 549,0.81 0.59
200 593 660 797 997 1109 1213,1325 935 1120 1095 986 275 1172,0.46 0.64 0.07 0.57 0.15 0.45 0.73
1036,642,0.02
740 944 1040 1090 1160 1190,985 264 528 860 827 260,0.21 0.37 0.72 0.82 0.2 0.19
557 657 940 1123 1194 1200 1493 1556,408 636 852 784 843 561 792 1060,0.66 0.05 0.53 0.1 0.24 0.92 0.81 0.88
283 516 1092 1152 1258 1341,819 740 952 1052 244 1035,0.88 0.79 0.49 0.18 0.29 0.91
823 1478,1029 532,0.31 0.07
480 556 950 962 1133 1156 1511,507 1300 1388 374 308 364 240,0.86 0.58 0.4 0.41 0.47 0.06 0.56
22 55 138 771 808 881 1058,916 1050 810 448 417 543 552,0.09 0.24 0.48 0.87 0.4 0.14 0.89
475 525 625,783 855 483,0.81 0.8 0.85
369 385 456 506 1072,690 468 801 1104 585,0.52 0.11 0.82 0.62 0.73
1034 1094 1211 1444,1164 1508 1137 704,0.71 0.08 0.06 0.66
61 264 510,148 834 183,0.08 0.46 0.01
570 859,432 393,0.56 0.48
847,1536,0.59
260 443 809,736 532 488,0.98 0.95 0.57
68 1156,1424 546,0.17 0.31
8 374 441 651 657 811,1036 447 171 320 848 891,0.18 0.25 0.78 0.73 0.12 0.04
690 1033 1110 1466,576 382 840 540,0.8 0.85 0.22 0.03
832 1435,972 1088,0.08 0.9
210 576 599 859,308 210 696 524,0.3 0.88 0.41 0.87
479 493 517 1308 1322,430 1056 680 1032 960,0.75 0.19 0.6 0.71 0.63
390 446 467 629 1066 1422,748 1500 1524 220 867 446,0.53 0.18 0.51 1.0 0.58 0.12
26 49 138 242 787 791 1180,176 1014 810 777 298 430 1560,0.59 0.04 0.45 0.39 0.25 0.67 0.04
831 1074,316 939,0.99 0.04
86 389 1465 1487,594 358 836 285,0.27 0.59 0.35 0.11
556 895 1144 1271,975 260 340 1050,0.04 0.16 0.77 0.54
456 768 1022 1304 1444,534 552 453 200 704,0.12 0.9 0.91 0.94 0.71
154 181 497 626 1103,588 186 561 387 229,0.05 0.8 0.53 0.79 0.39
410 630 1243 1313,378 840 354 1568,0.81 0.72 0.68 0.83
861 894 911 1010,735 113 394 795,0.39 0.99 0.76 0.29
590 794 1210 1520,386 360 509 462,0.02 0.42 0.09 0.49
709,285,0.3
386 542 1108 1391 1478,892 453 819 580 1064,0.33 0.42 0.23 0.19 0.03
103 336 559 875 1418,285 345 1889 1032 483,0.89 0.92 0.33 0.99 0.56
717 910 1233 1293 1399 1410,784 552 219 288 534 344,0.25 0.75 0.18 0.28 0.11 0.66
115 119 673 756 935 976,195 684 822 536 560 351,0.33 0.67 0.28 0.24 0.25 0.37
92 602 631 918 1240 1301 1417,166 642 312 891 903 376 722,0.21 0.29 0.89 0.08 0.18 0.78 0.03
1181 1311,531 1610,0.44 0.53
223 1111,957 234,0.52 0.95
272 439 1094 1315 1404,1564 700 1131 356 542,0.51 0.57 0.48 0.49 0.8
214 580 603 647 857 863 1063,846 723 492 822 1110 894 953,0.82 0.74 0.31 0.8 0.96 0.04 0.03
55 145 334 571 738 1393,700 681 312 375 555 740,0.96 0.86 0.27 0.55 0.9 0.35
879 1305 1362 1472 1555,333 171 447 440 1180,0.06 0.12 0.92 0.21 0.68
413 1195 1202 1538,450 498 1182 1019,0.97 0.88 0.55 0.92
70 259 933 1176,194 570 1014 342,0.92 0.93 0.44 0.16
7 284 300 423 573 843 906 1515,522 396 882 441 678 882 126 220,0.3 0.39 0.78 0.23 0.44 0.66 0.11 0.97
369 558 1061 1134 1378,459 400 498 728 146,0.94 0.61 0.19 0.91 0.02
209 485 625 934,748 438 483 220,0.71 0.69 0.66 0.38
512 1248 1414 1425,822 1332 268 654,0.02 0.66 0.91 0.23
356 566 865 915 1015,944 534 1116 861 438,0.12 0.34 0.45 0.18 0.15
730 1473,344 708,0.87 0.58
58 474 934 1023,924 1408 440 656,0.05 0.65 0.27 0.29
830 1439,490 600,0.32 0.83
1014 1070 1181 1264,118 702 531 940,0.26 0.65 0.71 0.02
268 1204 1237,519 648 825,0.93 0.1 0.21
101 987 1430,144 777 1008,0.58 0.69 0.23
634 838 934 1054 1083,505 1032 330 444 200,0.13 0.86 0.94 0.77 0.56
201 578 1420 1503,900 687 346 882,0.2 0.42 0.66 0.6
172 382 425 642 708 848 1417,1328 486 384 498 1104 678 1083,0.31 0.89 0.38 0.89 0.93 0.03 0.92
109 625,1580 644,0.49 0.83
190 972 1132 1316 1392,748 446 498 284 249,0.77 0.67 0.84 0.87 0.22
201 217 1488,900 136 702,0.26 0.16 0.73
51 523 667 999 1522 1538,441 516 532 813 455 1019,0.27 0.28 0.47 0.65 0.54 1.0
88 531 803 1136 1173,258 180 1053 722 693,0.18 0.02 0.41 0.05 0.06
316 483 566,393 776 534,0.85 0.1 0.05
506 539 622 878 1128 1255 1365,1472 1496 243 748 1044 496 159,0.19 0.12 0.79 0.26 0.68 0.7 0.26
343 642 692 792,690 498 465 639,0.74 0.57 0.51 0.04
775 786 992 1302,285 388 537 555,0.13 0.88 0.7 0.51
20 137 370 617 879 1518,556 1480 368 348 333 1408,1.0 0.42 0.42 0.8 0.73 0.15
118 694 754 1200 1443,444 1180 771 561 868,0.89 0.57 0.25 0.77 0.3
259 425 841 1081 1301 1390,570 256 370 1164 188 382,0.77 0.68 0.55 0.47 0.35 0.19
858 881 1340,444 724 771,0.13 0.02 0.78
872 1276,756 429,0.46 0.85
34 101 889 1043 1226,338 216 322 471 592,0.88 0.08 0.79 0.74 0.56
78 111 128 227 922 1126 1342,657 1392 106 594 777 348 1119,0.28 0.63 0.59 0.08 0.68 0.21 0.56
75 121 258 314 624 691 803 1479,204 894 688 925 738 855 1404 584,0.34 0.43 0.7 0.88 0.57 0.75 0.5 0.27
189 732 795 1431,1380 364 192 846,0.74 0.9 0.86 0.4
123 479,1152 645,0.18 0.62
297 326 447 969 1012 1295 1435,270 741 864 352 552 555 816,0.87 0.2 0.22 0.33 0.24 0.15 0.83
486 696 902 1212,342 144 291 159,0.37 0.74 0.42 0.47
85 401 528 1137 1197 1314 1547,272 280 288 708 1256 192 476,0.13 0.69 0.75 0.72 1.0 0.95 0.52
1110,840,0.19
192 581 602 985 1008 1511,608 852 856 216 267 360,0.11 0.5 0.75 0.11 0.6 0.98
49 69 1024 1550,1352 930 790 362,0.23 0.22 0.53 0.32
94 327 550 866 1409,310 180 1200 1038 159,0.53 0.68 0.18 0.66 0.1
42 54 221 231 1096 1290,846 1172 732 1060 512 642,0.68 0.58 0.41 0.19 0.81 0.8
788 1067 1246 1329 1537 1550,165 348 462 495 1092 724,0.17 0.16 0.51 0.48 0.31 0.86
256 422 1298 1387 1491,530 734 268 698 516,0.17 0.62 0.22 0.28 0.71
1019 1229,1122 390,0.66 0.9
123 732 1075 1204,1536 273 462 864,0.63 0.78 0.95 0.2
333 749 932 988 1009 1208 1298,528 801 476 1083 594 861 401,0.41 0.91 0.08 0.36 0.07 0.15 0.37
236 480 713 935 1289 1455 1538,724 507 1730 1120 363 1011 680,0.48 0.4 0.79 0.48 0.42 0.16 0.16
461,1088,0.48
288 344 365 528 964 1320,572 911 1584 384 597 1064,0.94 0.67 0.44 0.99 0.68 0.45
425 529,384 657,0.78 0.75
941 1477,1185 810,0.88 0.73
3 446 675 702 1051,332 750 718 1152 156,0.14 0.23 0.91 0.54 0.13
67 287 566 799 1375 1436 1542,558 468 712 852 852 184 285,0.17 0.2 0.5 0.22 0.69 0.1 0.34
204 234 876 903 920 1253,480 540 513 756 146 513,0.1 0.46 0.75 0.11 0.44 0.26
441 468 784 913 1057 1389,113 522 104 534 429 526,0.53 0.89 0.43 0.48 0.56 0.3
89 532 1175 1202 1219 1502 1551,476 1161 519 1182 708 562 348,0.7 0.79 0.54 0.86 0.57 0.87 0.93
555 692 1108 1258,864 465 492 183,0.64 0.1 0.82 0.22
170 174 340 995 1216 1378 1495,1280 513 189 345 633 219 1392,0.75 0.93 0.55 0.52 0.61 0.05 0.05
554,1256,0.64
787 991 1191 1303 1407,596 975 840 204 189,0.33 0.42 0.86 0.96 0.41
881 1324 1553,543 993 372,0.68 0.65 0.21
292 934 1137 1138 1355 1384,362 330 708 976 252 771,0.56 0.23 0.05 0.4 0.89 0.27
129 192 851 1388,620 304 501 525,0.72 0.73 0.55 0.39
102 179 572 1547,735 1100 1003 952,0.49 0.8 0.18 0.68
123 252 395 495 728 1337 1364,1152 1084 888 351 567 171 480,0.11 0.5 0.21 0.08 0.41 0.97 0.39
902 946,484 570,0.49 0.61
249 486 519 536 636,476 342 1528 546 528,0.82 0.71 0.27 0.87 0.27
236 619,543 675,0.27 0.95
95 278 644 1499,438 1008 261 417,0.59 0.66 0.67 0.46
451 721 1060 1133 1376,712 678 574 616 504,0.6 0.71 0.44 0.6 0.19
514 918 1030 1134,543 891 1056 546,0.17 0.72 0.52 0.77
98 608 1247 1307 1423,732 204 840 396 948,0.62 0.18 0.48 0.3 0.08
410 423 433 589 672 893,378 294 522 530 1002 364,0.13 0.53 0.75 0.05 0.15 0.08
57 473 932 1022,305 292 795 604,0.16 0.34 0.73 0.82
391 1196 1213 1339,524 1168 878 393,0.77 0.66 0.42 0.44
104 264 1096 1306 1373 1512,1556 1112 1024 494 1440 270,0.63 0.08 0.07 0.19 0.12 0.62
266 549,324 336,0.54 0.05
855 1065 1364 1398 1414 1514,964 376 480 944 536 174,0.69 0.72 0.54 0.61 0.48 0.88
979 1079 1501 1534,756 663 504 834,0.44 0.84 0.7 0.33
602 659 1278 1434,642 1284 564 279,0.97 0.19 0.6 0.27
205 1513,1084 570,0.66 0.68
238 351 1393,591 827 370,0.22 0.22 0.06
554,628,0.55
371 600 977 1486,330 462 227 712,0.8 0.92 0.56 0.55
402 897,225 162,0.16 0.56
165 215 491 508 631 781,525 158 702 758 312 1185,0.76 0.1 0.39 0.44 0.83 0.34
256 899,795 576,0.48 0.83
1269,1191,0.64
190 1531,748 153,0.32 0.8
464 514 790 807 930 936 1079,712 724 308 705 592 834 663,0.21 0.97 0.82 0.14 0.2 0.25 0.28
397 553,405 382,0.65 0.88
272 482 489 782 932,1173 219 723 468 476,0.77 0.35 0.9 0.39 0.62
50 938,1185 483,0.06 0.33
266 921 1142 1231,486 405 885 1484,0.32 0.92 0.19 0.16
1135 1405,784 267,0.05 0.33
170 413 646 869 1222 1388 1472,960 675 512 636 735 700 660,0.06 0.69 0.77 0.87 0.16 0.85 0.1
394,939,0.68
221 278 461 897 1253 1443,1464 1008 1088 162 684 651,0.74 0.31 0.36 0.95 0.12 0.09
48 358 1007 1011 1390 1400,752 1125 681 1268 382 344,0.71 0.25 0.16 0.51 0.15 0.94
1074,939,0.5
293 327 343 443 470 1080 1552,320 180 459 266 580 1095 810,0.5 0.05 0.82 0.57 0.43 0.72 0.78
8 131 906,777 960 252,0.47 0.85 0.78
1 68 207 364 563 1089 1343,1140 1424 248 440 504 494 574,0.96 0.33 0.37 0.27 0.04 0.55 0.36
322 343 725 748 1381 1418 1491,596 919 447 660 1085 644 774,0.21 0.52 0.92 0.29 0.76 0.01 0.79
945 1555,684 1180,0.87 0.38
1032 1089 1199 1282,110 494 768 1376,0.08 0.16 0.89 0.35
946,855,0.03
773 819 956 1322,213 554 600 1280,0.9 0.54 0.45 0.25
180 496,206 336,0.27 0.19
887 899 1066 1149 1369,540 576 867 352 1352,0.55 0.42 0.8 0.38 0.38
7 1132 1203 1209,522 498 584 1080,0.46 0.07 0.39 0.51
552 1344 1534,165 608 1390,0.64 0.23 0.57
292 525 1101 1161 1267 1350,543 1140 1048 1436 640 276,0.78 0.02 0.94 0.67 0.07 0.98
832 1487,972 190,0.6 0.21
489 566 959 971 1142 1165 1520,723 712 600 855 885 564 462,0.73 0.19 0.2 0.42 0.19 0.84 0.88
31 64 147 780 817 890 1067,620 644 192 1136 504 1044 522,0.32 0.37 0.3 0.22 0.31 0.69 0.49
484 534 634,1092 1014 759,0.8 0.89 0.13
378 394 465 515 1081,444 939 1180 764 1164,0.62 0.49 0.06 0.67 0.88
1043 1104 1220 1453,628 980 585 1244,0.04 0.88 0.64 0.87
70 273 519,194 654 1146,0.53 0.29 0.82
579 869,166 636,0.69 0.79
856,956,0.37
269 453 819,852 1168 1108,0.41 0.4 0.18
77 1165,1120 846,0.31 0.82
17 383 450 660 666 820,897 825 1011 1120 356 140,0.2 0.51 0.26 0.39 0.68 0.64
699 1043 1119 1475,568 314 951 1068,0.86 0.92 0.86 0.28
841 1444,555 880,0.27 0.41
219 585 608 868,504 872 204 1789,0.74 0.76 0.91 0.76
489 526 599 775 1331 1414,482 675 927 285 548 536,0.25 0.88 0.83 0.68 0.59 0.22
274 590 638,1496 579 1575,0.65 0.06 0.38
1310,1194,0.66
35 147 251 401 1189 1256 1393,663 128 732 210 304 366 555,0.37 0.13 0.68 0.25 0.77 0.52 0.76
172 361 754 937,664 225 771 1083,0.34 0.11 0.21 0.54
305 848 910 1547,1017 678 552 714,0.55 0.37 0.32 0.33
147 236 303 340 829 1245 1428 1505,128 543 774 126 651 463 1158 550,0.15 0.3 0.92 0.8 0.64 0.22 0.26 0.94
260 287 603 733 1209,552 468 369 780 810,0.41 0.58 0.72 0.6 0.26
225 445 1128,1167 1384 783,0.18 0.69 0.36
861 1438,735 411,0.11 0.38
99 122 1291,708 597 459,0.54 0.82 0.09
16 405 426 809 832 1335,1532 738 180 244 972 723,0.67 0.81 0.07 0.5 0.54 0.4
1083 1139,200 858,0.5 0.53
164 301 324 368 584 1493,1188 159 394 227 777 1584,0.13 0.67 0.2 0.11 0.63 0.85
617,696,0.5
45 55 1114 1436 1497,212 700 1026 276 1316,0.39 0.6 0.38 0.38 0.79
111 891 914 1174 1374,696 741 984 908 867,0.78 0.52 0.94 0.71 0.8
280 379 845 916 922 1216 1278,724 1540 568 771 777 422 846,0.98 0.85 0.62 0.21 0.92 0.67 0.82
313 679 962 1116,855 298 935 759,0.7 0.74 0.56 0.3
620 693 870 996 1425 1508,292 796 591 254 436 1416,0.03 0.23 0.34 0.54 0.45 0.16
50 660 976 1146,1185 1120 468 514,0.06 0.4 0.15 0.32
495 1367 1437,468 1071 522,0.36 0.58 0.41
1171,953,0.69
135 356 1038,1167 472 222,0.03 0.83 0.51
869 1031,636 242,0.39 0.61
33 1202,544 788,0.74 0.28
382 469 1085,648 516 896,0.86 0.61 0.08
326 332 486 532 669 1035 1102,741 884 455 774 720 222 570,0.44 0.47 0.65 0.79 0.48 0.2 0.15
413 717,675 1176,0.29 0.58
427 637 843 1153,428 172 882 104,0.87 0.1 0.62 0.29
221 731 760 1047 1369 1403 1430 1546,732 762 561 969 1014 976 672 122,0.72 0.11 0.9 0.29 0.66 0.75 0.2 0.43
629 829 839 1045 1355,165 651 198 740 189,0.66 0.63 0.65 0.67 0.63
144 616 1059,102 266 684,0.57 0.93 0.32
343 732 776 986 992 1285 1435,459 273 1167 1400 716 748 816,0.58 0.56 0.12 0.9 0.34 0.57 0.9
894 1077 1354 1444,171 1104 296 528,0.29 0.05 0.61 0.07
302 618 1250,1380 560 864,0.06 0.11 0.89
285 525 528 761 984 1397 1468,558 570 288 509 243 429 378,0.35 0.79 0.66 0.59 0.99 0.13 0.35
521 565,1814 180,0.33 0.41
1372 1405 1422 1549,996 445 1115 760,0.23 0.6 0.04 0.52
24 1306,519 741,0.88 0.95
268 890,519 783,0.49 0.97
690 750 867,288 585 564,0.54 0.06 0.55
105 404 437 454 554 581 1190 1453,744 375 591 279 942 568 390 1244,0.51 0.01 0.44 0.87 0.39 0.05 0.51 0.43
13 562,795 236,0.88 0.15
86 812 1066 1282 1348 1488,891 1002 1156 1376 741 936,0.02 0.21 0.12 0.31 0.75 0.69
402 636 1105,339 792 740,0.82 0.13 0.22
449 786 1219,1107 291 944,0.72 0.26 0.21
83 326 520 676 876 1402 1458 1479,1552 494 840 1316 342 518 1160 584,0.24 0.61 0.48 0.07 0.21 0.06 0.65 0.76
8 977,1036 152,0.76 0.74
218 728 1044 1171 1367 1400 1427 1543,1376 756 381 953 1071 258 1308 496,0.93 0.02 0.66 0.83 0.24 0.8 0.22 0.09
182 831 835 1014 1214 1224 1430,736 474 1047 118 264 372 1008,0.38 0.4 0.94 0.45 0.65 0.76 0.68
7 511 584 827 1316 1332 1459,1044 204 777 380 142 206 429,0.47 0.64 0.14 0.25 0.23 0.9 0.04
338 897 997 1120 1419 1453,171 216 658 513 249 1244,0.43 0.09 0.61 0.48 0.1 0.91
23 57 73 173 1072 1282 1288,525 244 699 429 585 1032 413,0.04 0.71 0.81 0.95 0.43 0.74 0.54
107 480 539 570 1163 1328 1481,543 338 1122 1080 328 903 579,0.03 0.5 0.58 0.01 0.6 0.28 0.82
172 229 339 422 921 1154 1377,1328 446 280 1101 405 509 566,0.92 0.43 0.01 0.36 0.02 0.57 0.17
242 685 914 941 958 1291,777 306 738 790 408 690,0.65 0.19 0.05 0.52 0.28 0.18
382 409 725 998 1268 1330,324 1173 447 375 390 266,0.86 0.14 0.29 0.22 0.94 0.81
444 473 1116 1143 1160 1443 1493,777 219 759 528 827 651 1188,0.87 0.32 0.9 0.86 0.8 0.84 0.72
731 1007 1147 1296,1143 681 568 1003,0.43 0.52 0.94 0.35
115 175 281 292 525 937 1157,195 770 526 724 1140 1083 1008,0.71 0.36 0.3 0.09 0.32 0.44 0.11
495,468,0.53
100 728 932 1132 1348,585 756 476 498 741,0.02 0.71 0.39 0.61 0.38
822 1362,372 298,0.17 0.85
403 719 1352,620 490 1060,0.09 0.17 0.33
387 530 630 863 1086 1402 1472,723 752 1120 894 759 1036 660,0.42 0.41 0.96 0.53 0.12 0.45 0.83
235,1065,0.2
102 678 1470,1225 1476 964,0.5 0.8 0.21
1393 1477,740 810,0.28 0.45
49 59 168 486 575 1224 1228,1014 560 378 342 843 496 876,0.14 0.71 0.6 0.63 0.77 0.32 0.62
585 1195 1268 1511,654 498 260 360,0.41 0.95 0.2 0.85
344 617 1559,455 463 486,0.41 0.42 0.85
1293 1416,288 834,0.18 0.97
384 1026 1053 1070 1403 1499,162 639 555 702 732 417,0.35 0.11 0.41 0.52 0.93 0.15
204 504 520 591 1063 1207 1540,640 736 560 351 1272 567 704,0.35 0.93 0.15 0.88 0.81 0.97 0.36
215 371 571 937 1097 1153 1220,158 132 375 1083 645 156 780,0.59 0.71 0.84 0.25 0.88 0.85 0.39
218 325 329 718 1121 1144 1400,1032 755 696 696 1548 340 344,0.61 0.51 0.06 0.51 0.26 0.92 0.02
295 1100 1117 1244,1248 360 1456 484,0.32 0.45 0.13 0.72
709 986 1125 1275,171 1050 884 468,0.93 0.05 0.44 0.36
94 154 260 270 503 1136 1329,186 588 552 896 744 1083 660,0.1 0.82 0.5 0.2 0.25 0.08 0.35
164 640 1276,891 518 429,0.98 0.83 0.22
324 883 983 1106 1406 1439,591 1160 164 455 168 600,0.67 0.97 0.7 0.47 0.42 0.98
10 43 60 159 1058 1268 1274,568 668 798 855 1104 520 524,0.35 0.36 0.18 0.42 0.75 0.8 0.43
7 190 467 556 623 1149 1411,783 1122 762 1300 540 176 570,0.79 0.23 0.6 0.52 0.1 0.19 0.75
506,736,0.22
105 121 192 242 664 808,744 1192 455 777 348 417,0.11 0.32 0.91 0.63 0.05 0.64
132 281 575 804 847 1130,768 526 1124 442 768 310,0.88 0.79 0.45 0.57 0.58 0.61
368 418 695 711 834 984 1254,342 1264 1408 1156 592 243 734,0.47 0.06 0.87 0.97 0.14 0.22 0.54
10 580 780 892 969 1362 1545,426 964 852 819 528 298 687,0.63 0.85 0.69 0.3 0.53 0.59 0.86
27 331 437 842 1512,1060 849 394 1280 108,0.23 0.71 0.29 0.3 0.76
600 756 1482,693 803 240,0.62 0.01 0.29
334 700 723 1183 1293,312 1072 153 462 432,0.99 0.41 0.85 0.44 0.25
602 725 1025,642 447 434,0.33 0.94 0.93
126 182 249 336 802 958 1524,644 736 476 229 1196 544 504,0.16 0.94 0.6 0.12 0.4 0.38 0.75
506 845 1094 1221,1104 568 1508 298,0.51 0.02 0.07 0.61
115 680 963 1517,130 588 1200 115,0.47 0.06 0.97 0.55
334 638,234 944,0.79 0.83
251 667 977,488 1064 227,0.67 0.32 0.7
218 401 767,1032 280 580,0.79 0.85 0.42
64 613 726 802 1196 1306 1379,483 546 642 598 584 741 768,0.46 0.28 0.75 0.35 0.44 0.67 0.98
37 137 164 559 592 676 1345,318 1110 891 1134 744 986 1472,0.98 0.84 0.61 0.97 0.41 0.64 0.52
167 600 810 816 1110 1259,180 462 227 687 840 642,0.26 0.05 0.39 0.98 0.44 0.25
436 558 858,459 320 666,0.28 0.03 0.84
82 169 635 791 1357 1517,1080 594 552 645 813 174,0.73 0.85 0.82 0.53 0.57 0.52
96 200 350 1205 1292 1342,422 795 326 780 999 1492,0.2 0.35 0.78 0.66 0.33 0.77
346 389,848 716,0.69 0.2
1230 1246 1373,231 616 1440,0.8 0.11 0.94
137 408 470 1080 1406 1423,1480 880 869 876 112 711,0.26 0.64 0.17 0.79 0.75 0.2
2 644 1021 1530,296 174 366 381,0.29 0.05 0.07 0.73
89 135 245 328 844 1210 1493,318 1167 596 252 662 509 1188,0.88 0.5 0.96 0.7 0.18 0.17 0.17
76 979,507 1512,0.77 0.41
53 130 523 729 1085,1444 669 688 344 896,0.86 0.27 0.66 0.25 0.84
1315 1386,712 492,0.86 0.09
770,549,0.66
28 304 394 460 987 1249 1403,1173 378 939 483 1036 592 732,0.41 0.47 0.36 0.77 0.93 0.12 0.68
53 163 246 745 1201 1554,1083 714 963 254 1011 508,0.01 0.7 0.84 0.3 0.97 0.5
189 383 705 872,1380 825 352 1008,0.76 0.83 0.9 0.68
322 356 372,894 472 796,0.44 0.47 0.17
241 258 530 801 1473,873 688 1128 530 708,0.04 0.49 0.38 0.86 0.46
268 584 907 967 1084 1317,519 1036 1368 244 548 678,0.57 0.07 0.53 0.09 0.3 0.46
471 532 721 1220,249 1161 903 390,0.97 0.58 0.67 0.36
238 661,788 936,0.71 0.83
57 153 596 1239 1266 1382,244 1088 128 455 354 225,0.73 0.11 0.21 0.23 0.03 0.8
97 320 1179 1422,118 1304 789 669,0.52 0.64 0.23 0.4
660 666 1436,1120 178 276,0.42 0.67 0.31
61 117 138 184 300 737 893 1093,370 550 1080 1019 1176 384 364 1405,0.34 0.89 0.28 0.9 0.21 0.86 0.37 0.14
80 225 325 352 862 868 1161 1194,1814 1167 302 268 819 1789 718 843,0.26 0.23 0.21 0.62 0.74 0.81 0.11 0.83
60 339 1136 1148 1315 1398,798 420 722 807 534 944,0.91 0.24 0.5 0.58 0.7 0.9
278 1154 1243 1347,1008 509 236 531,0.23 0.84 0.85 0.11
3 1384 1417 1434,415 771 1805 465,0.44 0.25 0.23 0.9
36 1318,540 279,0.05 0.29
51 610 710 833 1133 1253,294 908 476 478 462 513,0.08 0.73 0.32 0.31 0.37 0.4
78,657,0.89
31 142 1107 1130,465 696 810 465,0.79 0.18 0.11 0.3
913 951,534 579,1.0 0.4
264 485 1001 1167,834 657 504 705,0.55 0.48 0.12 0.18
360,262,0.57
942,702,0.57
926 1381,112 434,0.89 0.68
460,644,0.82
366 988 1088,708 1083 1328,0.51 0.82 0.1
690 919,576 616,0.52 0.43
1289,242,0.71
407 623,642 360,0.83 0.31
386 436 713 730 852 1002 1272,669 612 692 688 138 552 496,0.86 0.5 0.9 0.98 0.55 0.76 0.56
404 701 716 890 1283 1392 1467,500 225 543 522 158 166 776,0.65 0.13 0.5 0.4 0.13 0.91 0.73
67 472 1215,558 164 438,0.56 0.09 0.68
44 139 456 582 1192 1252 1369,878 358 1335 1140 392 911 676,0.8 0.64 0.34 0.36 0.02 0.61 0.5
719 1262,490 227,0.88 0.32
174 1062,513 714,0.9 0.66
99 975 1064,708 1128 216,0.22 0.76 0.05
239 788 871 1141 1391 1480 1553,442 220 1016 401 348 576 744,0.26 0.29 0.39 0.89 0.88 0.7 0.8
435,849,0.65
951 1288,579 276,0.66 0.28
142 186 469 1022 1178 1471,696 892 516 453 1512 465,0.07 0.81 0.56 0.82 0.16 0.56
876 1220,684 975,0.53 0.56
261,1014,0.38
893 1076 1153 1353 1442 1509,182 648 156 448 656 894,0.79 0.84 0.73 0.27 0.72 0.5
42 641 1007 1073 1290 1444 1489,564 1194 681 1035 642 352 519,0.36 0.52 0.18 0.27 0.04 0.51 0.61
93 776,288 1556,0.42 0.05
433 903 1109 1265 1464,696 1260 110 288 592,0.01 0.74 0.75 0.33 0.98
23 40 110 160 582 726,350 297 705 639 1520 963,0.5 0.76 0.72 0.47 0.73 0.08
105 377 747 1220,744 420 549 780,0.29 0.64 1.0 0.51
947,260,0.81
930 1386,444 328,0.55 0.57
464,1424,0.55
468 1090 1190,522 645 520,0.44 0.94 0.64
695 924,1408 1080,0.44 0.5
1294,516,0.54
412 628,276 280,0.59 0.5
100 150 426 443 715 986,780 1380 120 665 310 1050,0.61 0.46 0.12 0.88 0.91 0.13
33 453 482 603 915 1125 1169 1452,408 1168 292 369 861 884 894 867,0.47 0.99 0.27 0.8 0.76 0.44 0.36 0.09
74 147 450 557 962,314 256 1011 408 748,0.49 0.98 0.93 0.97 0.93
332 488,663 518,0.27 0.79
66 498 708 715 1008 1158,1032 1019 1472 465 267 396,0.42 0.82 0.53 0.69 0.84 0.8
63 722 845 1145,885 1132 284 785,0.61 0.16 0.48 0.7
246 302 323 485 1278,963 690 1400 657 1128,0.05 0.97 0.03 0.29 0.86
98 248 1103 1190 1240 1552,549 172 345 390 903 540,0.98 0.19 0.32 0.58 0.08 0.11
244,810,0.69
78 95,657 438,0.17 0.66
145,908,0.58
544 1486,885 534,0.07 0.69
595 629 1217 1317 1344,284 110 508 678 304,0.68 0.81 0.89 0.37 0.16
179 668 728 812 918 1421 1494,825 786 567 668 891 568 336,0.01 0.82 0.74 0.71 0.58 0.08 0.05
84 383 416 1419 1519 1546,843 825 996 332 162 122,0.11 0.25 0.16 0.85 0.79 0.6
424 634 697 934 967 984 1083,434 505 399 440 244 162 150,0.1 0.76 0.99 0.98 0.25 0.35 0.12
674 680 1450,1272 441 831,0.55 0.39 0.87
459 615 815 1341 1398 1464,192 540 276 690 1575 592,0.66 0.3 0.71 0.67 0.86 0.92
932,795,0.46
476 1291 1547,1456 690 952,0.68 0.76 0.97
136 170 197 313 546 1056 1499,1161 960 873 855 1112 1172 417,0.81 0.91 0.58 0.78 0.13 0.55 0.83
904 1247 1520,450 672 462,0.91 0.27 0.96
